,1h,4h,1d
atr,0.09392745866261883,0.09102568368364443,0.19642666664842473
bb1_lower,0.11936017213217406,0.055689674929601835,0.0
bb1_upper,0.1084564054481087,0.04860118937369249,0.04792497178766656
bb_basis,0.07293379603488331,0.11108989459365136,0.48681831611632176
bb_lower,0.04959117246257597,0.10307640034984945,0.5129387131855099
bb_percent,0.06226666553942171,0.154900526517465,0.12766027766322732
bb_upper,0.10876556909798539,0.2842301172101525,0.1334819527628741
bb_width,0.07320884655575172,0.10881915001534198,0.138462244962137
channel_lower,0.031075591412365215,0.16649995795105565,1.1263402526349549
channel_mid,0.12230170915130005,0.050558017498585475,0.12238220717924775
channel_upper,0.03203160455286598,0.03525046588047762,0.0619162705615941
close,0.17115656937303833,0.2392056866000237,0.28635485801361243
ema_fast,0.05564550000699662,0.03383006032351966,0.19696209285478272
ema_slow,0.029035570899388585,0.047645624728529345,0.5850892744118855
high,0.1357350633058379,0.0727269671225193,0.07456920806338463
ichi_base,0.03205852912918203,0.07730609165712363,0.20666806318061373
ichi_conv,0.15707327387863526,0.45147614506713957,0.11753288188015952
ichi_lag,1.6513085651926525,1.5176689537199837,1.4212907563358483
ichi_span_a,0.06586470957209509,0.12904879249536105,0.2727007702085626
ichi_span_b,0.028104529685368272,0.2588023088642789,0.22313793638871837
low,0.06621097467937047,0.0961054470006911,0.019744219889335505
macd,0.07281663222705746,0.18633347708702075,0.10102027963201836
macd_hist,0.054355807987901156,0.07551469764583069,0.3858497398283519
macd_signal,0.08166582482399898,0.0673228501122256,0.19026952575535447
open,0.0664536799876602,0.015406270562790174,0.40971524497402784
ret_1,0.07720359708270388,0.10236154948386465,0.2100150228291635
rsi,0.14265215611529478,0.04197289999375847,0.16792918592391573
rsi_ma,0.1277408851195921,0.13481266261332706,0.07708239988282668
stoch_d,0.05261786243233886,0.07570507084298611,0.18729830570981215
stoch_k,0.09952277283346854,0.04840777849902658,0.09756047377288087
trend_down,0.09464153512119092,0.12795812326983522,0.01580393304114271
trend_up,0.20649733859857589,0.028573547201789604,0.028150582240940917
volume,0.09524910130257457,0.05934288672353606,0.16183392201341543
vwap,0.05810347523507251,0.21126246708156984,0.11245636040214059
williams_r,0.0419622054035741,0.16460008329661904,0.3492537205360349
