,1h,4h,1d,global_rank
ichi_lag,1.0,1.0,1.0,1.0
close,3.0,5.0,9.0,5.666666666666667
ichi_conv,4.0,2.0,24.0,10.0
bb_upper,10.0,3.0,21.0,11.333333333333334
bb_basis,19.0,14.0,5.0,12.666666666666666
channel_lower,33.0,8.0,2.0,14.333333333333334
ichi_span_a,23.0,12.0,10.0,15.0
rsi_ma,7.0,11.0,28.0,15.333333333333334
ret_1,17.0,17.0,12.0,15.333333333333334
williams_r,30.0,9.0,8.0,15.666666666666666
atr,15.0,19.0,15.0,16.333333333333332
bb_lower,29.0,16.0,4.0,16.333333333333332
ichi_span_b,35.0,4.0,11.0,16.666666666666668
bb_width,18.0,15.0,20.0,17.666666666666668
macd,20.0,7.0,26.0,17.666666666666668
rsi,5.0,31.0,18.0,18.0
macd_signal,16.0,24.0,16.0,18.666666666666668
macd_hist,27.0,22.0,7.0,18.666666666666668
bb_percent,24.0,10.0,22.0,18.666666666666668
vwap,25.0,6.0,25.0,18.666666666666668
volume,13.0,25.0,19.0,19.0
high,6.0,23.0,29.0,19.333333333333332
channel_mid,8.0,27.0,23.0,19.333333333333332
trend_down,14.0,13.0,34.0,20.333333333333332
open,21.0,35.0,6.0,20.666666666666668
ichi_base,31.0,20.0,13.0,21.333333333333332
stoch_d,28.0,21.0,17.0,22.0
ema_slow,34.0,30.0,3.0,22.333333333333332
stoch_k,12.0,29.0,27.0,22.666666666666668
trend_up,2.0,34.0,32.0,22.666666666666668
bb1_upper,11.0,28.0,31.0,23.333333333333332
bb1_lower,9.0,26.0,35.0,23.333333333333332
ema_fast,26.0,33.0,14.0,24.333333333333332
low,22.0,18.0,33.0,24.333333333333332
channel_upper,32.0,32.0,30.0,31.333333333333332
